897,,false,7/4/2028
8,aq,false,7/4/2023
65,as,true,3/12/1996
6,cx,false,7/4/2018
65,cx,false,7/4/2015
98,cx,true,7/4/2021
87,cx,false,7/4/2003
21,da,false,3/12/1996
-656,dc,true,7/4/2012
87,ds,true,7/4/2020
-89,e,false,7/4/1998
6532,e,false,7/4/2005
54,ec,true,7/4/2016
-45,er,false,7/4/2025
5,er,true,7/4/2014
78,ewv,false,7/4/2007
5,f,false,7/4/2006
4,fq,true,7/4/2029
987,gweqf,true,7/4/2027
64132,he,false,7/4/2026
56,qef,false,7/4/2030
46,r,true,7/4/2024
45,ref,false,7/4/2011
64,rwe,true,7/4/1997
45,sd,true,7/4/2002
-98,sd,false,7/4/2022
6,sd,true,7/4/2009
-89,sd,false,7/4/2013
65,sf,true,7/4/2031
45,t,true,7/4/1999
6521,tr,true,7/4/2000
-4456,wer,false,7/4/2032
32,wer,false,7/4/2010
1,wer,false,7/4/2001
98,wer,true,7/4/2008
9,wer,false,7/4/2004
-9,wer,false,4/5/2001
56,wer,false,7/4/2019
5,xw,true,7/4/2017

